name	score
Problem Child 2	4.6
What About Bob?	7.0
My Own Private Idaho	7.1
City Slickers	6.7
The Doors	7.2
The Fisher King	7.6
The Last Boy Scout	6.9
Backdraft	6.7
Sleeping with the Enemy	6.2
Don't Tell Mom the Babysitter's Dead	6.1
The People Under the Stairs	6.3
The Man in the Moon	7.4
Toy Soldiers	6.5
New Jack City	6.6
Teenage Mutant Ninja Turtles II: The Secret of the Ooze	6.0
Freddy's Dead: The Final Nightmare	4.9
Hudson Hawk	5.8
Career Opportunities	5.9
Bill & Ted's Bogus Journey	6.2
Drop Dead Fred	5.8
Double Impact	5.5
Night on Earth	7.8
Necessary Roughness	6.1
Frankie and Johnny	6.7
Oscar	6.4
Ernest Scared Stupid	5.7
An American Tail: Fievel Goes West	6.5
Bugsy	6.8
The Prince of Tides	6.7
The Naked Gun 2½: The Smell of Fear	6.8
Out for Justice	6.0
The Five Heartbeats	7.5
Jungle Fever	6.5
Cool as Ice	2.8
Deceived	6.1
Regarding Henry	6.7
Showdown in Little Tokyo	6.1
The Double Life of Veronique	7.9
Rush	6.7
Dead Again	7.0
Slacker	7.1
Highlander II: The Quickening	4.1
Defending Your Life	7.3
Doc Hollywood	6.1
Curly Sue	5.7
Amigos inseparables	6.0
Harley Davidson and the Marlboro Man	6.0
White Fang	6.7
Dying Young	5.9
If Looks Could Kill	5.7
Mobsters	5.9
Under Suspicion	6.5
Ricochet	6.1
Not Without My Daughter	6.2
Stone Cold	5.9
L.A. Story	6.7
Wild Hearts Can't Be Broken	7.2
Whore	5.5
Switch	5.7
Flirting	7.3
Only Yesterday	7.7
Suburban Commando	4.3
Another You	5.3
Little Man Tate	6.7
Close My Eyes	6.4
King Ralph	5.2
Until the End of the World	6.8
Shakes the Clown	5.6
Popcorn	5.7
Mortal Thoughts	5.7
The Hard Way	6.3
La bella latosa	7.8
Mississippi Masala	6.6
Dogfight	7.5
Raise the Red Lantern	8.2
Body Parts	5.5
Shattered	6.5
Europa	7.7
Life Stinks	5.8
Delirious	5.7
The Indian Runner	7.1
Kafka	6.9
Soapdish	6.5
The Doctor	6.9
Black Robe	7.1
Dutch	6.4
Billy Bathgate	5.9
High Heels	7.2
He Said, She Said	5.6
Where the Day Takes You	6.8
A Rage in Harlem	5.9
Only the Lonely	6.3
Rambling Rose	6.7
Grand Canyon	6.9
All I Want for Christmas	6.0
Armour of God 2: Operation Condor	7.3
Mannequin: On the Move	4.1
The Perfect Weapon	6.0
Company Business	5.7
The Rapture	6.4
Flight of the Intruder	5.7
For the Boys	6.3
Kickboxer 2: The Road Back	4.5
Shadows and Fog	6.8
The Pit and the Pendulum	6.1
House Party 2	5.1
Prospero's Books	6.9
Guilty by Suspicion	6.5
At Play in the Fields of the Lord	6.8
True Colors	6.3
The Marrying Man	5.7
Pure Luck	5.7
The Super	5.5
The Butcher's Wife	5.3
F/X2	5.8
The Lovers on the Bridge	7.6
K2	6.2
Poison	6.5
Class Action	6.4
Enchanted April	7.4
Run	6.1
Shout	5.0
A Kiss Before Dying	5.7
Other People's Money	6.1
Scissors	5.2
Daughters of the Dust	6.5
One Good Cop	5.8
Sex and Zen	5.8
Impromptu	7.0
The Hitman	5.3
The Princess and the Goblin	6.9
Rapsodia en agosto	7.3
Wild Orchid II: Two Shades of Blue	3.7
Once Around	6.5
Riff-Raff	7.1
Madame Bovary	6.7
Proof	7.4
Homicide	7.1
Strictly Business	5.4
Mediterraneo	7.4
Johnny Stecchino	7.2
Edward II	7.0
Beastmaster 2: Through the Portal of Time	3.8
V.I. Warshawski	4.8
Year of the Gun	5.7
Voyager	6.8
Sólo con tu pareja	7.1
The Adjuster	6.7
Mystery Date	6.0
Stepping Out	6.4
McBain	4.7
Closet Land	7.2
Bingo	4.7
Where Angels Fear to Tread	6.6
Van Gogh	7.3
29th Street	7.3
Becoming Colette	5.4
The Taking of Beverly Hills	4.9
Toto the Hero	7.7
Hangin' with the Homeboys	7.0
Paradise	6.7
Cabeza de Vaca	7.0
The Inner Circle	7.1
Liebestraum	6.0
The Object of Beauty	5.7
Crooked Hearts	6.1
Late for Dinner	6.5
Straight Out of Brooklyn	5.9
Mon Pere Ce Heros	6.1
Talkin' Dirty After Dark	5.2
Lovers: A True Story	7.2
The Unborn	4.0
Livin' Large!	5.0
Tous les matins du monde	7.6
Thousand Pieces of Gold	7.1
And You Thought Your Parents Were Weird	4.5
Queens Logic	5.9
Scenes from a Mall	5.3
My Heroes Have Always Been Cowboys	6.4
Talent for the Game	5.9
City of Hope	7.4
Twenty-One	5.3
Hear My Song	7.2
Eve of Destruction	4.8
Timebomb	5.5
Married to It	5.9
Defenseless	5.8
London Kills Me	6.3
True Identity	5.1
The Ballad of the Sad Cafe	6.5
Highway 61	7.2
The Knife	6.2
The Pope Must Diet	5.0
Meeting Venus	6.8
Hard Promises	5.8
Samantha	6.5
Reservoir Dogs	8.3
Bram Stoker's Dracula	7.5
Aladdin	8.0
Batman Returns	7.0
Bajos instintos	6.9
The Last of the Mohicans	7.8
Unforgiven	8.2
My Cousin Vinny	7.5
A Few Good Men	7.7
Twin Peaks: Fire Walk with Me	7.2
Alien 3	6.4
Sister Act	6.3
A League of Their Own	7.2
Death Becomes Her	6.5
Scent of a Woman	8.0
Newsies	7.0
The Bodyguard	6.2
Wayne's World	7.0
The Mighty Ducks	6.4
Army of Darkness	7.6
Home Alone 2: Lost in New York	6.6
Under Siege	6.5
Glengarry Glen Ross	7.8
Dead Alive	7.6
Candyman	6.6
Patriot Games	6.9
School Ties	6.9
Of Mice and Men	7.5
Captain Ron	5.7
A River Runs Through It	7.3
Chaplin	7.6
Malcolm X	7.7
Sleepwalkers	5.2
FernGully: Las aventuras de Zak y Crysta	6.5
Beethoven	5.6
Hellraiser III: Hell on Earth	5.5
The Crying Game	7.3
Buffy the Vampire Slayer	5.6
Pet Sematary II	4.8
Singles	6.7
Universal Soldier	6.0
White Men Can't Jump	6.7
Jamón, Jamón	6.5
Encino Man	5.7
Juice	7.1
The Lover	6.9
Far and Away	6.5
Lethal Weapon 3	6.7
Luna amarga	7.2
The Lawnmower Man	5.4
Poison Ivy	5.4
The Hand That Rocks the Cradle	6.6
Ladybugs	5.3
Single White Female	6.3
Bad Lieutenant	7.1
3 Ninjas	5.2
Sneakers	7.1
Boomerang	5.4
The Player	7.6
Toys	5.0
1492: Conquista del Paraíso	6.5
Man Bites Dog	7.6
Hoffa	6.6
Passenger 57	5.8
Howards End	7.5
Como agua para chocolate	7.2
Romper Stomper	6.8
Damage	6.9
El Mariachi	6.9
Strictly Ballroom	7.2
Innocent Blood	6.2
American Me	7.2
Cool World	4.8
Honey I Blew Up the Kid	4.7
Orlando	7.2
Forever Young	6.3
The Cutting Edge	6.9
Radio Flyer	6.9
Fortress	5.9
Mom and Dad Save the World	5.3
Pure Country	6.9
Raising Cain	6.0
The Tom and Jerry Movie	5.3
Sidekicks	4.9
A Stranger Among Us	5.7
The Power of One	7.2
Unlawful Entry	6.3
Medicine Man	6.0
Stay Tuned	6.1
Lorenzo's Oil	7.2
Split Second	6.2
Consenting Adults	5.7
CrissCross	5.8
Rapid Fire	6.3
Noises Off...	7.5
Hero	6.5
City of Joy	6.4
Supercop	6.9
Thunderheart	6.8
Honeymoon in Vegas	5.8
The Muppet Christmas Carol	7.7
Children of the Corn II: The Final Sacrifice	4.2
Stop! Or My Mom Will Shoot	4.1
Peter's Friends	7.0
The Babe	5.9
Love Potion No. 9	5.6
Trespass	6.2
Husbands and Wives	7.6
One False Move	7.2
Jennifer 8	6.2
Gladiator	6.4
Memoirs of an Invisible Man	5.9
Mo' Money	5.4
Dr. Giggles	5.1
HouseSitter	6.0
Class Act	6.0
Kuffs	5.8
South Central	6.8
Final Analysis	5.8
The Mambo Kings	6.4
Indochine	7.1
Freejack	5.3
Shining Through	6.4
Deep Cover	6.9
That Night	6.7
Belle Epoque	7.2
The Distinguished Gentleman	5.9
Christopher Columbus: The Discovery	4.4
Nemesis	5.6
Twin Dragons	6.4
Leap of Faith	6.1
Diggstown	7.0
Bob Roberts	7.0
Big Girls Don't Cry... They Get Even	6.5
A Midnight Clear	7.2
Tokyo Decadence	6.1
Wind	6.5
Love Field	6.7
White Sands	6.0
Into the West	7.0
Mr. Baseball	5.9
Gas, Food Lodging	6.7
For a Lost Soldier	7.6
Night and the City	5.8
Straight Talk	5.7
Zebrahead	6.3
Waterland	6.7
The Playboys	6.4
This Is My Life	6.0
Light Sleeper	6.9
Juego a muerte	6.1
Bébé's Kids	5.5
Prelude to a Kiss	5.6
Léolo	7.6
Once Upon a Crime...	5.8
Mistress	5.5
Mr. Saturday Night	5.8
Man Trouble	4.6
American Heart	6.8
The Waterdance	6.9
Aces: Iron Eagle III	3.5
Love Crimes	4.1
Folks!	5.5
Passion Fish	7.5
In the Soup	7.1
The Public Eye	6.5
Article 99	6.1
Storyville	5.8
Brain Donors	7.1
The Efficiency Expert	6.3
Simple Men	7.2
Out on a Limb	5.2
Passed Away	5.9
A Tale of Winter	7.6
The Best Intentions	7.9
Guncrazy	5.6
Whispers in the Dark	5.6
House of Angels	6.4
Tetsuo II: Body Hammer	6.4
Pushing Hands	7.3
Year of the Comet	5.8
The Long Day Closes	7.5
The Stolen Children	7.5
Blame It on the Bellboy	5.4
Shadow of the Wolf	5.7
The Opposite Sex and How to Live with Them	4.9
Traces of Red	5.2
Rich in Love	6.3
Chain of Desire	5.4
Un Coeur en Hiver	7.7
Just Another Girl on the I.R.T.	6.3
Savage Nights	7.1
Rebels of the Neon God	7.6
Leaving Normal	6.7
The Living End	6.5
The Story of Qiu Ju	7.6
Crossing the Bridge	6.4
Sarafina!	6.4
Ruby	5.5
Map of the Human Heart	7.2
Olivier, Olivier	7.7
Fifty/Fifty	5.8
Ruby Cairo	5.0
The Gun in Betty Lou's Handbag	5.0
Used People	6.0
No Place to Hide	5.6
Equinox	5.7
Rescue Me	5.5
Into the Sun	5.2
Freddie as F.R.O.7.	5.1
Roadside Prophets	6.5
A Place in the World	7.9
Claire of the Moon	4.9
Naked Killer	6.0
Mac	6.3
Khuda Gawah	6.6
My New Gun	5.6
Hold Me Thrill Me Kiss Me	6.0
Swoon	6.8
Laws of Gravity	7.0
Hocus Pocus	6.7
Tombstone	7.8
Schindler's List	8.9
The Sandlot	7.8
Jurassic Park	8.1
The Nightmare Before Christmas	8.0
Dazed and Confused	7.7
Un día de furia	7.6
The Firm	6.8
True Romance	8.0
Addams Family Values	6.6
A Bronx Tale	7.8
What's Eating Gilbert Grape	7.8
The Secret Garden	7.3
Groundhog Day	8.0
Robin Hood: Men in Tights	6.7
Mrs. Doubtfire	6.9
Sleepless in Seattle	6.8
Last Action Hero	6.3
Blood In, Blood Out	8.0
Cliffhanger	6.4
The Fugitive	7.8
Free Willy	5.9
Indecent Proposal	5.8
Philadelphia	7.7
Homeward Bound: The Incredible Journey	6.9
El piano	7.6
Carlito's Way	7.9
Sister Act 2: Back in the Habit	5.4
Demolition Man	6.6
Super Mario Bros.	4.0
Rudy	7.5
The Three Musketeers	6.4
En el nombre del padre	8.1
Sliver	4.9
Alive	7.1
The Age of Innocence	7.2
The Good Son	6.4
Cool Runnings	6.9
Much Ado About Nothing	7.4
The Program	6.4
Dragon: The Bruce Lee Story	7.0
Menace II Society	7.5
Naked	7.9
Hard Target	6.1
Grumpy Old Men	6.9
Dennis the Menace	5.5
Gettysburg	7.7
The Vanishing	6.3
The Beverly Hillbillies	4.9
Red Rock West	7.0
This Boy's Life	7.3
So I Married an Axe Murderer	6.4
Benny & Joon	7.2
Boxing Helena	4.6
Needful Things	6.2
The Dark Half	5.9
Jason Goes to Hell: The Final Friday	4.3
Wayne's World 2	6.1
The Pelican Brief	6.6
What's Love Got to Do with It	7.2
In the Line of Fire	7.2
Coneheads	5.2
The Crush	5.7
Fire in the Sky	6.5
Leprechaun	4.7
A Perfect World	7.5
Short Cuts	7.7
The Remains of the Day	7.9
Three Colors: Blue	8.0
Cronos	6.7
Airborne	6.2
RoboCop 3	4.0
Kalifornia	6.7
Hot Shots! Part Deux	6.6
Point of No Return	6.0
Son in Law	5.7
La casa de los espíritus	6.9
Rookie of the Year	5.9
Batman: Mask of the Phantasm	7.9
Rising Sun	6.2
The Man Without a Face	6.7
Look Who's Talking Now	4.2
Poetic Justice	5.9
Sniper	6.1
Freaked	6.3
Geronimo: An American Legend	6.5
Arizona Dream	7.4
Stalingrad	7.5
Malicia	6.4
El cuerpo del delito	4.4
Swing Kids	6.8
The Thing Called Love	6.3
Fearless	7.1
Dave	6.8
Beethoven's 2nd	4.8
Little Buddha	6.0
Six Degrees of Separation	6.9
El cielo y la tierra	6.8
Teenage Mutant Ninja Turtles III	4.8
Loaded Weapon 1	6.1
CB4	6.2
Surf Ninjas	5.0
Body Snatchers	5.9
M. Butterfly	6.8
We're Back! A Dinosaur's Story	6.1
Flesh and Bone	6.2
Shadowlands	7.4
The Joy Luck Club	7.6
Return of the Living Dead III	5.9
Judgment Night	6.6
Searching for Bobby Fischer	7.5
Dream Lover	6.2
Killing Zoe	6.5
Striking Distance	5.8
Farewell My Concubine	8.1
Nowhere to Run	5.6
Untamed Heart	6.8
For Love or Money	6.1
Matinee	6.8
Sirenas	5.8
Manhattan Murder Mystery	7.4
Heart and Souls	6.9
The Cement Garden	7.2
Made in America	4.9
Sommersby	6.1
Romeo Is Bleeding	6.6
The Adventures of Huck Finn	6.2
The Temp	5.1
Mad Dog and Glory	6.2
Mi vida loca	6.5
Los visitantes	7.0
Wide Sargasso Sea	5.8
My Life	6.8
Only the Strong	6.7
Kika	6.5
My Boyfriend's Back	5.4
Even Cowgirls Get the Blues	4.3
Weekend at Bernie's II	4.6
Indian Summer	6.5
Fatal Instinct	5.7
Once Upon a Forest	6.5
Life with Mikey	5.5
Undercover Blues	6.0
The Thief and the Cobbler	7.1
The Meteor Man	5.0
Cop & ½	3.9
Warlock: The Armageddon	5.3
King of the Hill	7.6
Mr. Nanny	3.6
A Dangerous Woman	5.9
Iron Monkey	7.6
Faraway, So Close!	7.3
Best of the Best II	5.4
A Far Off Place	6.6
Josh and S.A.M.	5.8
Mr. Jones	5.8
Deadfall	3.7
Blink	6.2
The Wedding Banquet	7.7
Sugar Hill	5.9
Man's Best Friend	5.1
The Slingshot	6.5
Posse	5.5
The Advocate	6.8
Another Stakeout	5.5
Carnosaur	3.5
Aspen Extreme	5.8
Ghost in the Machine	4.4
Son of the Pink Panther	3.8
House of Cards	6.3
Crime Story	6.8
Germinal	7.1
Dangerous Game	5.7
A Home of Our Own	7.1
Father Hood	4.8
Splitting Heirs	5.5
The Nutcracker	5.8
Money for Nothing	5.7
Mother's Boys	5.4
Ethan Frome	6.3
Silent Tongue	5.3
Amos & Andrew	5.6
Maadadayo	7.4
Guilty as Sin	5.6
The Real McCoy	5.5
Mr. Wonderful	5.9
Naked in New York	5.7
Jack the Bear	6.5
Blue	7.2
Boiling Point	4.9
For the Moment	6.3
The Innocent	5.7
Raining Stones	7.5
Strawberry and Chocolate	7.5
Lost in Yonkers	6.7
Fear of a Black Hat	7.2
The Ballad of Little Jo	6.8
Who's the Man?	5.5
Born Yesterday	5.1
Gunmen	5.2
Wrestling Ernest Hemingway	7.1
Totally F***ed Up	6.1
Wilder Napalm	5.5
Calendar Girl	5.0
Bodies, Rest & Motion	5.6
The Scent of Green Papaya	7.4
Once Upon a Time in China III	6.8
Witchboard 2	5.0
Sankofa	7.1
Hexed	5.5
Caro diario	7.3
Morning Glory	6.6
Three of Hearts	5.5
Watch It	6.4
Philadelphia Experiment II	4.5
El papalote azul	7.7
Love & Human Remains	6.7
The Saint of Fort Washington	7.2
Ruby in Paradise	7.1
The Shawshank Redemption	9.3
Pulp Fiction	8.9
Forrest Gump	8.8
Léon: The Professional	8.6
The Lion King	8.5
Interview with the Vampire: The Vampire Chronicles	7.6
Speed	7.2
The Little Rascals	6.3
Four Weddings and a Funeral	7.1
The Mask	6.9
Dumb and Dumber	7.3
Natural Born Killers	7.3
Legends of the Fall	7.5
Stargate: la puerta del tiempo	7.1
True Lies	7.2
The Crow	7.6
Ace Ventura: Pet Detective	6.9
Wyatt Earp	6.7
The Flintstones	4.8
D2: The Mighty Ducks	6.0
Reality Bites	6.6
Star Trek: Generations	6.6
Ed Wood	7.9
New Nightmare	6.4
Clerks	7.8
Mary Shelley's Frankenstein	6.4
Clear and Present Danger	6.9
Little Women	7.3
Ri¢hie Ri¢h	5.3
Texas Chainsaw Massacre: The Next Generation	3.2
Baby's Day Out	6.0
Street Fighter	3.8
Little Giants	6.3
Airheads	6.1
Las aventuras de Priscilla, reina del desierto	7.5
Criaturas celestiales	7.4
In the Mouth of Madness	7.2
Nell	6.5
The Client	6.7
Maverick	7.0
The Santa Clause	6.4
Blue Chips	6.1
My Father the Hero	5.4
Chungking Express	8.1
The Specialist	5.5
Blank Check	5.2
Renaissance Man	6.1
El Libro de la Selva	6.0
La boda de Muriel	7.2
Angels in the Outfield	6.1
Beverly Hills Cop III	5.5
Quiz Show	7.5
Disclosure	6.0
Somos guerreros	7.9
Corrina, Corrina	6.5
Wolf	6.2
Naked Gun 33 1/3: The Final Insult	6.5
Bad Girls	5.1
The Pagemaster	6.0
The Hudsucker Proxy	7.3
Color of Night	5.1
The River Wild	6.3
PCU	6.6
Three Colors: Red	8.1
Don Juan DeMarco	6.7
Camp Nowhere	5.9
The Legend of Drunken Master	7.6
Junior	4.6
Timecop: Policía del futuro	5.8
Only You	6.5
My Girl 2	5.2
The Swan Princess	6.4
Major League II	5.5
Above the Rim	6.6
The Getaway	5.7
It Could Happen to You	6.3
Immortal Beloved	7.5
Ready to Wear	5.0
The Last Seduction	7.1
When a Man Loves a Woman	6.5
Exótica	7.2
On Deadly Ground	4.4
Exit to Eden	4.1
Threesome	6.2
Surviving the Game	6.1
Shallow Grave	7.3
Crooklyn	6.9
Blue Sky	6.4
The Next Karate Kid	4.3
Blown Away	6.2
The Puppet Masters	5.9
Pulgarcita	6.4
Miracle on 34th Street	6.4
The Shadow	6.0
Chasers	5.0
Queen Margot	7.5
Bullets Over Broadway	7.5
In the Army Now	4.8
Serial Mom	6.7
Three Colors: White	7.7
Black Beauty	6.6
With Honors	6.7
North	4.4
No Escape	6.1
The War	6.7
Il Postino	7.7
Nobody's Fool	7.4
Brainscan	6.1
The Madness of King George	7.2
It's Pat: The Movie	2.6
Fresh	7.6
Milk Money	5.5
Andre	5.7
The Road to Wellville	5.8
The Ref	6.9
8 Seconds	6.5
Eat Drink Man Woman	7.8
The Chase	5.8
Police Academy: Mission to Moscow	3.3
A Low Down Dirty Shame	5.9
Double Dragon	3.7
Spanking the Monkey	6.3
Death and the Maiden	7.3
De amor y de sombras	5.1
City Slickers II: The Legend of Curly's Gold	5.5
I.Q.	6.2
Clifford	5.3
A Troll in Central Park	5.4
The Cowboy Way	5.8
Greedy	6.2
Little Big League	6.1
3 Ninjas Kick Back	4.4
Mixed Nuts	5.4
Swimming with Sharks	7.1
Drop Zone	5.6
Death Wish V: The Face of Death	4.7
Jason's Lyric	6.6
Intersection	5.2
Mi adorable delincuente	5.3
Iron Will	6.5
Cemetery Man	7.3
Lightning Jack	5.4
Terminal Velocity	5.4
Highlander: The Final Dimension	4.3
Before the Rain	8.1
To Live	8.3
The Paper	6.6
Cabin Boy	5.1
Sleep with Me	5.7
Burnt by the Sun	8.0
Sister My Sister	6.9
Love Affair	5.9
I Like It Like That	6.8
Getting Even with Dad	4.6
Wagons East	4.7
I Love Trouble	5.2
House Party 3	4.1
Leprechaun 2	4.4
Blankman	4.8
Death Machine	5.7
Priest	7.1
Trading Mom	5.5
Backbeat	6.7
Ashes of Time	7.2
The Scout	5.3
The Secret of Roan Inish	7.5
Cops and Robbersons	5.0
Mrs. Parker and the Vicious Circle	6.4
War of the Buttons	7.5
Guarding Tess	6.2
China Moon	6.2
Being Human	5.4
A Pure Formality	7.8
The Air Up There	5.5
Rapa Nui	6.4
Trapped in Paradise	5.9
Little Odessa	6.8
The Favor	5.3
S.F.W.	5.9
Speechless	5.7
Cobb	6.5
It Runs in the Family	5.7
Lassie	5.9
Farinelli	6.9
A Simple Twist of Fate	6.3
Amateur	7.0
Silent Fall	5.9
The Glass Shield	6.6
Barcelona	7.0
There Goes My Baby	6.4
White Fang 2: Myth of the White Wolf	5.4
Oleanna	6.7
Jimmy Hollywood	5.3
Princess Caraboo	6.0
I'll Do Anything	5.6
Radioland Murders	6.2
Mosquito	4.6
The Sum of Us	7.4
The Browning Version	7.3
Angie	5.4
Vanya on 42nd Street	7.5
Double Happiness	7.2
Go Fish	5.6
Car 54, Where Are You?	2.4
River of Grass	6.5
Tom & Viv	6.5
Nadja	6.0
Wild Reeds	7.6
Ladybird Ladybird	7.5
Squanto: A Warrior's Tale	6.1
Dance Me Outside	7.3
The Monster	7.5
Through the Olive Trees	7.8
Little Indian, Big City	5.6
Clean Slate	5.7
Holy Matrimony	5.1
Maybe... Maybe Not	6.6
A Good Man in Africa	5.0
I Can't Sleep	7.0
La fille de d'Artagnan	5.9
Se7en	8.6
Jumanji	6.9
Braveheart	8.4
The Usual Suspects	8.6
Heat	8.2
Clueless	6.8
Pocahontas	6.7
Twelve Monkeys	8.0
Toy Story	8.3
Batman Forever	5.4
GoldenEye	7.2
Casino	8.2
Kids	7.0
Showgirls	4.7
Casper	6.0
Ghost in the Shell	8.0
Friday	7.3
Before Sunrise	8.1
Mortal Kombat	5.8
Apollo 13	7.6
Hackers	6.2
Bad Boys	6.8
Die Hard with a Vengeance	7.6
Billy Madison	6.4
Waterworld	6.1
Congo	5.1
Sense and Sensibility	7.7
Get Shorty	6.9
The American President	6.8
Tank Girl	5.3
Powder	6.6
Species	5.8
The City of Lost Children	7.7
Adiós a Las Vegas	7.6
The Basketball Diaries	7.3
Desperado	7.2
Heavy Weights	6.7
Empire Records	6.7
Babe, el puerquito valiente	6.8
Strange Days	7.2
Ace Ventura: When Nature Calls	6.3
Four Rooms	6.7
La Haine	8.1
While You Were Sleeping	6.7
Rápida y mortal	6.4
Major Payne	6.2
Judge Dredd	5.5
A Goofy Movie	6.8
Village of the Damned	5.6
Tommy Boy	7.1
A Little Princess	7.7
The Brady Bunch Movie	5.9
Dead Man Walking	7.6
Grumpier Old Men	6.6
To Wong Foo Thanks for Everything, Julie Newmar	6.4
Now and Then	6.8
It Takes Two	5.8
Copycat	6.6
Dolores Claiborne	7.4
Mighty Morphin Power Rangers: The Movie	5.1
Outbreak	6.6
Dead Man	7.7
Crimson Tide	7.3
The Bridges of Madison County	7.6
Dangerous Minds	6.4
To Die For	6.8
Kicking and Screaming	7.0
Mallrats	7.2
Halloween: The Curse of Michael Myers	5.0
Under Siege 2: Dark Territory	5.4
Johnny Mnemonic	5.6
Higher Learning	6.5
A Walk in the Clouds	6.7
Mighty Aphrodite	7.1
Assassins	6.3
Sabrina	6.3
Rob Roy	6.9
First Knight	5.9
Drácula: Muerto pero feliz	5.8
Cutthroat Island	5.6
Tales from the Crypt: Demon Knight	6.7
The Net	5.9
Dead Presidents	6.8
French Kiss	6.6
The Indian in the Cupboard	5.9
Mr. Holland's Opus	7.3
The Scarlet Letter	5.2
Vampire in Brooklyn	4.5
Balto	7.1
A Kid in King Arthur's Court	4.8
The Prophecy	6.6
Father of the Bride Part II	5.9
When Night Is Falling	6.7
Welcome to the Dollhouse	7.4
Wild Bill	5.9
Asesinos cibernéticos	6.4
The Baby-Sitters Club	5.7
Total Eclipse	6.6
Virtuosity	5.6
Nixon	7.1
Jade	5.2
The Big Green	5.5
Lord of Illusions	6.0
Rumble in the Bronx	6.7
Safe	7.2
Just Cause	6.4
How to Make an American Quilt	6.2
The Last Supper	6.8
Othello	6.9
Something to Talk About	5.7
Waiting to Exhale	5.7
El triturador	4.0
Murder in the First	7.3
Free Willy 2: The Adventure Home	4.9
Sudden Death	5.7
Nine Months	5.4
Clockers	6.9
The Day of the Beast	7.5
Círculo de amigos	6.6
Operation Dumbo Drop	5.0
Man of the House	5.0
Things to Do in Denver When You're Dead	6.8
Canadian Bacon	5.9
My Family	7.3
Tom and Huck	5.6
The Doom Generation	6.0
Living in Oblivion	7.6
Smoke	7.4
Devil in a Blue Dress	6.7
The Crossing Guard	6.3
Gold Diggers: The Secret of Bear Mountain	6.0
Money Train	5.6
Delta of Venus	4.5
Nick of Time	6.3
Home for the Holidays	6.6
Kiss of Death	5.9
Richard III	7.5
Tales from the Hood	6.2
Losing Isaiah	6.4
Boys on the Side	6.4
Tall Tale	5.9
The Walking Dead	4.8
Bushwhacked	5.5
The Brothers McMullen	6.6
Bye Bye Love	6.1
Fair Game	4.1
Last of the Dogmen	6.9
Angels and Insects	7.0
The Cure	7.7
Angus	6.7
3 Ninjas Knuckle Up	4.1
Heavy	7.0
Senior Trip	5.6
The Incredibly True Adventure of Two Girls in Love	6.5
White Man's Burden	5.2
Forget Paris	6.4
Fluke	6.7
Candyman: Farewell to the Flesh	5.2
Restoration	6.7
Miami Rhapsody	5.4
The Englishman Who Went Up a Hill But Came Down a Mountain	6.6
The Addiction	6.4
La Cérémonie	7.6
Blue in the Face	6.7
The Hunted	5.9
Houseguest	5.9
Beyond the Clouds	6.5
Hideaway	5.3
La piedra y el pingüino	5.6
Jury Duty	4.1
Never Talk to Strangers	5.1
The Flower of My Secret	7.1
Jack & Sarah	6.6
Land and Freedom	7.6
Dr. Jekyll and Ms. Hyde	4.4
Mad Love	5.3
Jefferson in Paris	5.7
Ulysses' Gaze	7.6
Antonia's Line	7.5
Bad Company	5.4
New Jersey Drive	6.7
Funny Bones	7.0
An Awfully Big Adventure	6.0
Moonlight and Valentino	5.8
Party Girl	6.6
Beyond Rangoon	6.6
Jeffrey	6.7
The Amazing Panda Adventure	5.8
Panther	6.4
Rumpelstiltskin	4.4
The Underneath	6.2
Far from Home: The Adventures of Yellow Dog	6.4
Carrington	6.9
Georgia	6.5
Born to Be Wild	5.1
Three Wishes	6.2
The Jerky Boys	4.6
The Perez Family	6.1
Top Dog	4.1
Napoleon	6.1
Two Bits	6.3
Mute Witness	6.8
The Star Maker	7.4
Stuart Saves His Family	5.3
The Grass Harp	7.2
Gordy	3.9
Killer: A Journal of Murder	6.4
Flirt	6.3
The Horseman on the Roof	7.1
Destiny Turns on the Radio	4.5
Roommates	6.4
A Midwinter's Tale	7.3
Magic in the Water	5.8
Wings of Courage	6.5
Unstrung Heroes	6.7
A Month by the Lake	6.4
A Single Girl	7.2
The White Balloon	7.8
The Fantasticks	5.8
Separate Lives	5.0
Twister	6.3
Trainspotting	8.2
Fargo	8.1
Scream	7.2
From Dusk Till Dawn	7.3
Independence Day	7.0
Romeo + Juliet	6.8
Matilda	6.8
Happy Gilmore	7.0
Kama Sutra: A Tale of Love	6.0
Sleepers	7.6
The English Patient	7.4
Jerry Maguire	7.3
The Craft	6.3
Mission: Impossible	7.1
Primal Fear	7.7
Space Jam	6.3
The Rock	7.4
Fear	6.2
A Time to Kill	7.4
Mars Attacks!	6.3
Hellraiser: Bloodline	5.1
The People vs. Larry Flynt	7.3
The Birdcage	7.0
The Island of Dr. Moreau	4.4
The Hunchback of Notre Dame	6.9
The Crucible	6.8
That Thing You Do!	6.9
Sling Blade	8.0
First Contact	7.6
Crash: Extraños placeres	6.4
Executive Decision	6.4
Tin Cup	6.3
Bottle Rocket	7.1
Bio-Dome	4.4
101 Dalmatians	5.7
Don't Be a Menace to South Central While Drinking Your Juice in the Hood	6.6
Kingpin	6.9
James and the Giant Peach	6.7
Bound	7.4
Striptease	4.3
The First Wives Club	6.2
Thinner	5.7
DragonHeart	6.4
The Nutty Professor	5.6
El libro de cabecera	6.7
Swingers	7.3
The Cable Guy	6.1
Hamlet	7.8
Muertos de miedo	7.1
Stealing Beauty	6.6
Emma	6.7
Beautiful Girls	7.2
